ID,dataset,sample_id,date,year,season,basin,lake_region,port,depth_m,depth_g,compartment,sci_name,species,species_group,length_mm,mass_g,d15n,d13c,d13c_norm,cn,trophic
339,csmi_2015,cmu-2-dws-2-11,NA,2015,summer,north,ne,ludington,110,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,125.42024819037667,24.65975193357564,12.187625,-24.966500000000003,-23.95048988835054,4.1484394506866415,consumer
340,csmi_2015,5472,NA,2015,summer,north,ne,ludington,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.684171863834449,-26.39617574632617,-24.664101946697404,3.908172590814024,consumer
341,csmi_2015,5472,NA,2015,summer,north,ne,ludington,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.279443978068239,-26.028336628646667,-24.308401519901324,3.908709038499853,consumer
342,csmi_2015,5472,NA,2015,summer,north,ne,ludington,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.953379124437733,-26.584806362075835,-24.84650775212733,3.956763776686593,consumer
343,csmi_2015,2-mys-2-10,NA,2015,summer,north,ne,ludington,110,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,7.687175726948297,-26.21372060533304,-25.039925423895248,5.161713379884317,consumer
344,csmi_2015,2-mys-2-11,NA,2015,summer,north,ne,ludington,110,NA,zooplankton,Mysis diluviana,mysis,mysis,NA,0.005,9.47594244640141,-25.98278656570081,-25.059202264122618,4.921494446154351,consumer
345,csmi_2015,5466,NA,2015,summer,north,ne,ludington,110,NA,pom,POM,pom,pom,NA,NA,0.9537001960251417,-26.762687116361047,-26.762687116361047,7.638567294644871,b1
346,csmi_2015,5470,NA,2015,summer,north,ne,ludington,110,NA,pom,POM,pom,pom,NA,NA,1.731836708755993,-29.253411311266348,-29.253411311266348,7.837753871807995,b1
347,csmi_2015,5472,NA,2015,summer,north,ne,ludington,110,NA,pom,POM,pom,pom,NA,NA,1.6173744355816864,-25.99104846277814,-25.99104846277814,6.819261738141064,b1
348,csmi_2015,153-5466,NA,2015,summer,north,ne,ludington,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,4.669453372212976,-28.698262243419787,-25.95533528745411,7.438700210100242,consumer
349,csmi_2015,153-5044,NA,2015,summer,north,ne,ludington,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,10.415008451814565,-30.367782762454993,-28.765963061558974,5.631967765274217,consumer
350,csmi_2015,153-5470,NA,2015,summer,north,ne,ludington,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,6.768187062456806,-31.06665169980594,-27.5794096432446,9.407137241127858,consumer
351,csmi_2015,63-5473,NA,2015,summer,north,ne,ludington,110,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,4.535784085635431,-26.780713800782376,-25.536939848496225,5.233152107976616,consumer
352,csmi_2015,5473,NA,2015,summer,north,ne,ludington,168,NA,benthic inverts,Oligochaeta,oligochaete,oligochaete,NA,0.001,10.40582069792656,-26.769351359795312,-25.024962764922066,3.8395800643655047,consumer
353,csmi_2015,153-5465,NA,2015,summer,north,ne,ludington,168,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,7.99086452876192,-32.389451197333166,-28.818308308670147,9.696366984578443,consumer
354,csmi_2015,153-5473,NA,2015,summer,north,ne,ludington,168,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,8.149599546468572,-32.16327116019001,-29.207083374013642,7.913123796429675,consumer
355,csmi_2015,2-alg-3-1,NA,2015,fall,north,ne,ludington,2,ns,benthic algae,benthic algae,benthic algae,benthic algae,NA,NA,4.787665255873339,-17.935604709671836,-17.935604709671836,13.53537634797497,b2
356,csmi_2015,lud31a,NA,2015,fall,north,ne,ludington,2,ns,benthic inverts,Amphipoda,amphipod,amphipod,NA,0.005,4.000351472759733,-19.603217460221043,-18.095311284033748,4.714954389769397,consumer
357,csmi_2015,lud30ha,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,7.939686219564928,-24.873268767184197,-25.71659585643086,3.704156294317258,consumer
358,csmi_2015,lud33ha,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,5.53543730883914,-21.546115139346654,-22.355902023443207,3.721630539895191,consumer
359,csmi_2015,lud35ha,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,7.671371074276848,-24.504763468226713,-25.285624928262816,3.736833455835625,consumer
360,csmi_2015,lud30hj,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemiysis juv,NA,0.001,7.652802389782375,-26.10294043406804,-26.951179690885578,3.7016108511986534,consumer
361,csmi_2015,lud33hj,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemiysis juv,NA,0.001,7.60477576478506,-24.71275291791069,-25.527574243107768,3.7189971175090712,consumer
362,csmi_2015,lud35hj,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemiysis juv,NA,0.001,6.267285380132942,-21.46013522364692,-22.19872019070341,3.759278338450672,consumer
363,csmi_2015,lud36-z,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Zooplankton240,zooplankton240,zooplankton240,NA,1e-5,5.256608400120021,-25.24602394051466,-23.679638928566167,5.589808226226634,consumer
364,csmi_2015,lud38-z,NA,2015,fall,north,ne,ludington,2,ns,zooplankton,Zooplankton240,zooplankton240,zooplankton240,NA,1e-5,6.070136134747262,-25.520591765672563,-24.131369858501444,5.388148171190845,consumer
365,csmi_2015,cmu-2-ale-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Alosa pseudoharengus,alewife,alewife,NA,NA,13.331800000000001,-25.583714285714287,-24.343555111698368,4.3252259436469975,consumer
366,csmi_2015,cmu-2-ale-3-14,NA,2015,fall,north,ne,ludington,5,ns,fishes,Alosa pseudoharengus,alewife,alewife,NA,NA,10.711833333333335,-25.259999999999998,-24.29871248368856,4.107452782031648,consumer
367,csmi_2015,cmu-2-blo-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Coregonus hoyi,bloater,bloater,NA,NA,8.808857142857143,-21.825142857142858,-20.681900693038244,4.246971899224806,consumer
368,csmi_2015,cmu-2-ltr-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Salvelinus namaycush,lake trout,lake trout,NA,NA,12.593800000000002,-25.726714285714287,-23.52501555464593,5.292788610337357,consumer
369,csmi_2015,cmu-2-lwf-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Coregonus clupeaformis,lake whitefish,lake whitefish,457.72971319635974,1142.5842318013015,11.8132,-24.89,-24.020342831700802,4.040606527884862,consumer
370,csmi_2015,cmu-2-lwf-3-14,NA,2015,fall,north,ne,ludington,5,ns,fishes,Coregonus clupeaformis,lake whitefish,lake whitefish,648.4525328540954,3363.7397851803325,9.3252,-18.824,-18.189411436541146,3.878670788253478,consumer
371,csmi_2015,cmu-2-rog-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Neogobius melanostomus,round goby,round goby sm,58.76647838125429,1.8607914492046407,9.596833333333333,-22.866,-22.260671314741035,3.8594179022515096,consumer
372,csmi_2015,cmu-2-rog-3-14,NA,2015,fall,north,ne,ludington,5,ns,fishes,Neogobius melanostomus,round goby,round goby sm,73.16319817545953,3.5829035526826116,9.417833333333334,-21.334,-20.676067480258435,3.8941693290734825,consumer
373,csmi_2015,cmu-2-sps-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,41.856346908668066,0.654806432715322,9.844833333333334,-22.139,-21.457057722308893,3.910239651416122,consumer
374,csmi_2015,cmu-2-whs-3-13,NA,2015,fall,north,ne,ludington,5,ns,fishes,Catostomus commersonii,white sucker,white sucker,NA,NA,9.743200000000002,-24.746000000000002,-23.929649289099526,4.002710027100272,consumer
375,csmi_2015,cmu-2-whs-3-14,NA,2015,fall,north,ne,ludington,5,ns,fishes,Catostomus commersonii,white sucker,white sucker,NA,NA,8.2832,-23.834000000000003,-22.417297367285286,4.475441501103753,consumer
376,csmi_2015,cmu-2-whs-3-15,NA,2015,fall,north,ne,ludington,5,ns,fishes,Catostomus commersonii,white sucker,white sucker,NA,NA,8.942200000000001,-23.648000000000003,-22.270154199349534,4.441490653071134,consumer
377,csmi_2015,cmu-2-alel-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Alosa pseudoharengus,alewife,alewife lg,75.64242210356838,3.7381716790883703,8.399799999999999,-25.3688,-23.97643085978558,4.454119850187266,consumer
378,csmi_2015,cmu-2-alel-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Alosa pseudoharengus,alewife,alewife lg,74.8544502786026,3.62142424387769,7.8958,-25.431800000000003,-23.967800000000004,4.517474185861794,consumer
379,csmi_2015,2-alel-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Alosa pseudoharengus,alewife,alewife lg,131.74461421468163,20.081243222602247,8.308847452414913,-27.364210059481284,-24.7268537376422,5.889748549323017,consumer
380,csmi_2015,cmu-2-ales-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Alosa pseudoharengus,alewife,alewife sm,63.239141184798974,2.1726384896901205,7.3946250000000004,-25.6155,-24.002718045112783,4.655,consumer
381,csmi_2015,2-ales-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Alosa pseudoharengus,alewife,alewife sm,74.65971887728602,3.592953870856825,7.535671696699027,-26.31936390376067,-24.224414236468398,5.164526686807654,consumer
382,csmi_2015,2-ales-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Alosa pseudoharengus,alewife,alewife sm,107.76647253017137,10.925102308248722,8.049864949757811,-26.00621002433168,-24.14802206710039,4.901103230890466,consumer
383,csmi_2015,cmu-2-blos-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Coregonus hoyi,bloater,bloater sm,74.41823804267285,4.0131860532447785,7.977857142857142,-24.49057142857143,-23.811533627884145,3.9082885648503454,consumer
384,csmi_2015,2-blos-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Coregonus hoyi,bloater,bloater sm,82.52773176986243,5.524509421732304,7.6472894709329235,-26.76831377761151,-25.005426003888882,4.8025039123630675,consumer
385,csmi_2015,2-blos-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Coregonus hoyi,bloater,bloater sm,84.46776653137563,5.9357448389685485,8.734952588180626,-25.391485275350277,-24.181584285251265,4.300486618004867,consumer
386,csmi_2015,2-byt-3-1,NA,2015,fall,north,ne,ludington,18,ns,zooplankton,Bythotrephes longimanus,bythotrephes,bythotrephes,NA,2e-4,5.98891533766767,-25.48122648686338,-24.508795229311843,4.966618222900569,consumer
387,csmi_2015,cmu-2-lwf-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Coregonus clupeaformis,lake whitefish,lake whitefish,299,305.19729760688415,9.724800000000002,-24.3168,-23.578163636363637,3.948717948717949,consumer
388,csmi_2015,2-lwf-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Coregonus clupeaformis,lake whitefish,lake whitefish,575,2317.2362751467417,9.963872893461748,-21.612626209571495,-20.948558255184714,3.898263348885433,consumer
389,csmi_2015,5640,NA,2015,fall,north,ne,ludington,18,ns,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,0.7141600707781075,-24.835605688077823,-23.155030700371253,3.7466317437469856,consumer
390,csmi_2015,5634,NA,2015,fall,north,ne,ludington,18,ns,pom,POM,pom,pom,NA,NA,0.36155696369108403,-24.412637943266443,-24.412637943266443,16.263531989904855,b1
391,csmi_2015,5640,NA,2015,fall,north,ne,ludington,18,ns,pom,POM,pom,pom,NA,NA,-0.12472167423923566,-24.76283570459462,-24.76283570459462,8.45496377637221,b1
392,csmi_2015,cmu-2-ras-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Osmerus mordax,rainbow smelt,rainbow smelt,61.152938519957836,1.8246978733322992,8.214857142857143,-25.008142857142857,-24.23664132496717,3.971372276309689,consumer
393,csmi_2015,cmu-2-ras-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Osmerus mordax,rainbow smelt,rainbow smelt,69.8163406947369,2.6129054392134314,8.292857142857143,-25.23314285714286,-24.436404421841218,3.988945578231292,consumer
394,csmi_2015,cmu-2-ras-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Osmerus mordax,rainbow smelt,rainbow smelt,89.79446572042339,5.167807604599892,9.361857142857144,-24.36214285714286,-23.657261928191865,3.925717439293598,consumer
395,csmi_2015,2-ras-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Osmerus mordax,rainbow smelt,rainbow smelt,75.09585034308316,3.1836051287390488,8.814594403252226,-25.04677129976684,-24.31451323525071,3.9443512304250556,consumer
396,csmi_2015,2-ras-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Osmerus mordax,rainbow smelt,rainbow smelt,67.38567815673625,2.3736583268746205,8.876081400072474,-25.10020231269872,-24.098196582039694,4.137872628726288,consumer
397,csmi_2015,cmu-2-rog-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Neogobius melanostomus,round goby,round goby sm,58.57808726200582,1.8430121915188469,9.265800000000002,-23.4008,-22.704505848291838,3.9199092088197145,consumer
398,csmi_2015,cmu-2-rog-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Neogobius melanostomus,round goby,round goby sm,30.550671193836784,0.26315526329971806,12.071200000000001,-28.068,-27.081261851015803,4.126413838988689,consumer
399,csmi_2015,2-rog-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Neogobius melanostomus,round goby,round goby sm,62.411392762571154,2.2276091046363824,8.605277410615974,-22.666216487369283,-21.800231315497793,4.037973043027475,consumer
400,csmi_2015,cmu-2-sps-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,47.14329595619011,0.950176793937591,8.250800000000002,-21.6458,-20.75445542763158,4.056230640934,consumer
401,csmi_2015,cmu-2-sps-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,50.36311395634786,1.168455989008233,8.015800000000002,-22.1978,-21.16206229508197,4.163416536661466,consumer
402,csmi_2015,2-sps-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Notropis hudsonius,spottail shiner,spottail shiner,44.30891067672992,0.7825589431128429,8.003167641935846,-21.800837264154993,-20.752332930914847,4.173166666666667,consumer
403,csmi_2015,cmu-2-yep-3-1,NA,2015,fall,north,ne,ludington,18,ns,fishes,Perca flavescens,yellow perch,yellow perch sm,74,3.1516746574303984,8.602857142857143,-23.69614285714286,-22.86367022752088,4.014096185737976,consumer
404,csmi_2015,2-yep-3-2,NA,2015,fall,north,ne,ludington,18,ns,fishes,Perca flavescens,yellow perch,yellow perch lg,225.7111792831218,96.69586982328833,9.221819759242061,-23.513712236413603,-22.648832176443587,4.037181150021617,consumer
405,csmi_2015,2-yep-3-3,NA,2015,fall,north,ne,ludington,18,ns,fishes,Perca flavescens,yellow perch,yellow perch lg,128.84479323247166,17.294392047509458,9.125053338016754,-23.606188989564934,-22.71891022850299,4.053292339226236,consumer
406,csmi_2015,153-5634,NA,2015,fall,north,ne,ludington,18,ns,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,1.3368225417090818,-25.69304022484877,-23.56696493665003,6.339357278100291,consumer
407,csmi_2015,63-5634,NA,2015,fall,north,ne,ludington,18,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,1.3334645287619185,-24.703961245401423,-22.106086008539975,7.1472469711063935,consumer
408,csmi_2015,cmu-ales-3-4,NA,2015,fall,north,ne,ludington,46,NA,fishes,Alosa pseudoharengus,alewife,alewife sm,84,5.135304930412474,7.078777777777778,-24.521666666666675,-23.660555555555565,4.0344827586206895,consumer
409,csmi_2015,cmu-2-blos-3-4,NA,2015,fall,north,ne,ludington,46,NA,fishes,Coregonus hoyi,bloater,bloater sm,86.2922007043216,6.340917077333196,8.0978,-25.1038,-23.934520703498375,4.267715617715617,consumer
410,csmi_2015,cmu-2-blos-3-5,NA,2015,fall,north,ne,ludington,46,NA,fishes,Coregonus hoyi,bloater,bloater sm,76.41503343739122,4.355344525110044,8.3448,-25.047800000000002,-24.17502870349989,4.042842613780829,consumer
411,csmi_2015,2-blos-3-6,NA,2015,fall,north,ne,ludington,46,NA,fishes,Coregonus hoyi,bloater,bloater sm,87.42598510059642,6.601904713660769,8.779301409688843,-25.27394303118722,-24.40498116678044,4.040107605771582,consumer
412,csmi_2015,2-byt-3-4,NA,2015,fall,north,ne,ludington,46,NA,zooplankton,Bythotrephes longimanus,bythotrephes,bythotrephes,NA,2e-4,5.848139313513231,-25.91824515681232,-24.813532893620817,5.0930769074697215,consumer
413,csmi_2015,2-byt-3-5,NA,2015,fall,north,ne,ludington,46,NA,zooplankton,Bythotrephes longimanus,bythotrephes,bythotrephes,NA,2e-4,5.684330347630338,-25.065426486863384,-24.319588162966923,4.763995278323032,consumer
414,csmi_2015,cmu-2-dws-3-4,NA,2015,fall,north,ne,ludington,46,NA,fishes,Myoxocephalus thompsonii,deepwater sculpin,deepwater sculpin,42.41206299620984,0.883878258403353,9.725833333333334,-24.762999999999998,-23.723163968887953,4.166541541541542,consumer
415,csmi_2015,cmu-2-ltr-3-4,NA,2015,fall,north,ne,ludington,46,NA,fishes,Salvelinus namaycush,lake trout,lake trout,345,459.05106973833176,12.427800000000001,-24.1778,-23.293971617161716,4.050802139037434,consumer
416,csmi_2015,cmu-2-ltr-3-5,NA,2015,fall,north,ne,ludington,46,NA,fishes,Salvelinus namaycush,lake trout,lake trout,452,1057.7371636176479,13.622800000000002,-23.169800000000002,-22.54496688918558,3.872230428360414,consumer
417,csmi_2015,5648,NA,2015,fall,north,ne,ludington,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,4.31519996660422,-27.3620272600665,-25.598080360484307,4.08437275914081,consumer
418,csmi_2015,5648,NA,2015,fall,north,ne,ludington,46,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,4.768628136200747,-26.940783478777604,-25.19073762397794,3.8657413278775374,consumer
419,csmi_2015,5648,NA,2015,fall,north,ne,ludington,46,NA,benthic inverts,Oligochaeta,oligochaete,oligochaete,NA,0.001,7.27787777762741,-21.663545568330843,-20.087648564575925,4.12757809899821,consumer
420,csmi_2015,5642,NA,2015,fall,north,ne,ludington,46,NA,pom,POM,pom,pom,NA,NA,-1.1874774095245604,-24.940329597879376,-24.940329597879376,8.418436135021569,b1
421,csmi_2015,5646,NA,2015,fall,north,ne,ludington,46,NA,pom,POM,pom,pom,NA,NA,-1.0678062549425809,-25.695955493151946,-25.695955493151946,8.252835625990818,b1
422,csmi_2015,5648,NA,2015,fall,north,ne,ludington,46,NA,pom,POM,pom,pom,NA,NA,-1.984987815844948,-25.60955848620175,-25.60955848620175,9.089545251700125,b1
423,csmi_2015,cmu-2-rog-3-4,NA,2015,fall,north,ne,ludington,46,NA,fishes,Neogobius melanostomus,round goby,round goby lg,95.10675255491613,7.849679860762933,8.828800000000001,-23.687800000000003,-23.061039436619723,3.873501199040767,consumer
424,csmi_2015,cmu-2-rog-3-5,NA,2015,fall,north,ne,ludington,46,NA,fishes,Neogobius melanostomus,round goby,round goby sm,58.98695271852006,1.8817430614474444,8.720714285714287,-22.788857142857143,-21.995599530484014,3.986512524084779,consumer
425,csmi_2015,cmu-2-smsl-3-4,NA,2015,fall,north,ne,ludington,46,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,75.55107588095026,5.202340878450048,10.737777777777776,-23.837666666666674,-22.984839735289892,4.028564331843021,consumer
426,csmi_2015,2-smsl-3-5,NA,2015,fall,north,ne,ludington,46,NA,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,103.83252180203398,13.80840587639207,10.601483009200772,-22.690566505918085,-21.535495256965863,4.256371049949031,consumer
427,csmi_2015,153-5646,NA,2015,fall,north,ne,ludington,46,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,3.4677674427357355,-28.23522036842943,-26.30481941862776,6.055475501533496,consumer
428,csmi_2015,153-5642,NA,2015,fall,north,ne,ludington,46,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,2.05899016492448,-24.933939032790068,-23.93188395795402,4.994389404525785,consumer
429,csmi_2015,63-5646,NA,2015,fall,north,ne,ludington,46,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,2.298748517562574,-27.42920892359206,-25.443749192186868,6.132750734209208,consumer
430,csmi_2015,5656,NA,2015,fall,north,ne,ludington,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.876952881925318,-26.73745008949267,-24.99411423653941,4.093372592741227,consumer
431,csmi_2015,5656,NA,2015,fall,north,ne,ludington,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,7.5249974823907735,-26.4413391092856,-24.707774918679174,3.6734243019752006,consumer
432,csmi_2015,5656,NA,2015,fall,north,ne,ludington,110,NA,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.6765398568922505,-26.575252110223104,-24.83726879058574,3.7551240834562276,consumer
433,csmi_2015,5656,NA,2015,fall,north,ne,ludington,110,NA,benthic inverts,Oligochaeta,oligochaete,oligochaete,NA,0.001,11.236377540308235,-23.354386565700814,-21.722691809032685,4.292596969034837,consumer
434,csmi_2015,5650,NA,2015,fall,north,ne,ludington,110,NA,pom,POM,pom,pom,NA,NA,-1.7159628085994487,-26.593242405064796,-26.593242405064796,10.031316161398102,b1
435,csmi_2015,5654,NA,2015,fall,north,ne,ludington,110,NA,pom,POM,pom,pom,NA,NA,-0.6378296954143157,-26.59116376430469,-26.59116376430469,8.56709904079148,b1
436,csmi_2015,5656,NA,2015,fall,north,ne,ludington,110,NA,pom,POM,pom,pom,NA,NA,4.112736708755993,-24.564428510509334,-24.564428510509334,8.636227980931457,b1
437,csmi_2015,153-5654,NA,2015,fall,north,ne,ludington,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,3.8037077047183874,-28.676005256327684,-26.121782832380052,7.063953868794819,consumer
438,csmi_2015,153-5657,NA,2015,fall,north,ne,ludington,110,NA,zooplankton,Zooplankton153,zooplankton153,zooplankton153,NA,1e-6,4.461730270466433,-28.950071646794182,-26.248747250899523,7.352704970076947,consumer
439,csmi_2015,63-5650,NA,2015,fall,north,ne,ludington,110,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,1.2553349005265786,-24.749102427449163,-22.360443125887045,6.764943798060759,consumer
440,csmi_2015,63-5654,NA,2015,fall,north,ne,ludington,110,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,3.254986671247179,-27.200411644595306,-25.519515355307888,5.728384045293074,consumer
441,csmi_2015,63-5657,NA,2015,fall,north,ne,ludington,110,NA,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,2.0567429459873194,-25.51985451170721,-23.449672786144077,6.255587896036202,consumer
442,csmi_2015,5657,NA,2015,fall,north,ne,ludington,168,NA,benthic inverts,Oligochaeta,oligochaete,oligochaete,NA,0.001,10.643326232217303,-27.335871940633464,-25.57278816659256,4.095259023222308,consumer
443,csmi_2015,3-alg-1-1,NA,2015,spring,north,nw,manitowoc,2,ns,benthic algae,benthic algae,benthic algae,benthic algae,NA,NA,6.092479143978379,-24.789141896892232,-24.789141896892232,12.677180891290552,b2
444,csmi_2015,3-alg-1-2,NA,2015,spring,north,nw,manitowoc,2,ns,benthic algae,benthic algae,benthic algae,benthic algae,NA,NA,8.943257816509881,-20.184062028262062,-20.184062028262062,10.902858730594112,b2
445,csmi_2015,3-alg-1-3,NA,2015,spring,north,nw,manitowoc,2,ns,benthic algae,benthic algae,benthic algae,benthic algae,NA,NA,5.473025872138378,-24.389249078937908,-24.389249078937908,6.6828033562298534,b2
446,csmi_2015,man03ha,NA,2015,spring,north,nw,manitowoc,2,ns,zooplankton,Hemimysis anomala,hemimysis,hemimysis adult,NA,0.001,7.132368454693564,-21.191299992011174,-21.424001676737454,4.050391595542246,consumer
447,csmi_2015,3-rog-1-20,NA,2015,spring,north,nw,manitowoc,2,ns,fishes,Neogobius melanostomus,round goby,round goby sm,74.51956304714786,3.785194462826112,9.195612186826873,-20.877097252121104,-20.50694799838976,3.711346481616752,consumer
448,csmi_2015,man04-z,NA,2015,spring,north,nw,manitowoc,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,10.331478415145853,-25.335797786105676,-25.08671471709872,4.372890968717617,consumer
449,csmi_2015,man05-z,NA,2015,spring,north,nw,manitowoc,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,11.114079233731287,-26.426953803183302,-26.869607000430047,3.924271236551885,consumer
450,csmi_2015,man06-z,NA,2015,spring,north,nw,manitowoc,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,10.037446314260167,-26.471410139389263,-26.205741596882987,4.384909941786623,consumer
451,csmi_2015,man05-z,NA,2015,spring,north,nw,manitowoc,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,9.807621105661184,-26.267334067371696,-26.701097223010404,3.9294521337363895,consumer
452,csmi_2015,man06-z,NA,2015,spring,north,nw,manitowoc,2,ns,zooplankton,Zooplankton63,zooplankton63,zooplankton63,NA,1e-7,8.490815932031015,-25.727724310952276,-25.397903516551068,4.432027764792386,consumer
453,csmi_2015,3-cra-1-1,NA,2015,spring,north,nw,manitowoc,18,ns,benthic inverts,Cambaridae,crayfish,crayfish,NA,4.6,11.001476002465358,-22.24878967197804,-20.653579612802766,3.6982035052517688,consumer
454,csmi_2015,3-cra-1-2,NA,2015,spring,north,nw,manitowoc,18,ns,benthic inverts,Cambaridae,crayfish,crayfish,NA,4.6,8.831982809208506,-19.78403425483263,-18.27016112442315,4.1996869034377555,consumer
455,csmi_2015,3-mus-1-1,NA,2015,spring,north,nw,manitowoc,18,ns,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,8.967896835995901,-27.190329873532725,-25.432048987706143,4.833540258922221,consumer
456,csmi_2015,3-mus-1-2,NA,2015,spring,north,nw,manitowoc,18,ns,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,3.8465762657364015,-29.574696769764753,-27.737731776362516,6.802486004241097,consumer
457,csmi_2015,3-mus-1-3,NA,2015,spring,north,nw,manitowoc,18,ns,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,3.483122043227075,-33.19825640779589,-31.241713946338624,13.943240531182196,consumer
458,csmi_2015,5054,NA,2015,spring,north,nw,manitowoc,18,ns,dreissenids,Dreissena,dreissena,dreissena,NA,0.035,6.9426045160858845,-24.843219513728354,-23.162393269775315,3.72972172211877,consumer
459,csmi_2015,5048,NA,2015,spring,north,nw,manitowoc,18,ns,pom,POM,pom,pom,NA,NA,2.703978236122045,-26.875177193283683,-26.875177193283683,7.953501348438448,b1
460,csmi_2015,3-smsl-1-1,NA,2015,spring,north,nw,manitowoc,18,ns,fishes,Cottus cognatus,slimy sculpin,slimy sculpin lg,68,3.765324082628352,11.475411199653552,-23.04826005166948,-22.296473177075587,3.95775165319618,consumer
